Frequency,RinV
1148,0.641972
1148,0.64069
1148,0.454103
1148,0.436037
1148,0.474428
1148,0.488955
1148,0.452883
1148,0.499025
1148,0.26758
1148,0.616276
1148,0.643192
1148,0.534
1148,0.0136719
1148,0.245667
1148,0.450197
1148,0.920109
1148,0.657475
1148,0.677555
1148,0.882755
1148,0.189759
1158,0.480837
1158,0.278872
1158,0.00659183
1158,0.831486
1158,0.848759
1158,0.484499
1158,0.833012
1158,0.522709
1158,0.286318
1158,0.401064
1158,0.489748
1158,0.612431
1158,0.615543
1158,0.91486
1158,0.0264283
1158,0.826359
1158,0.843693
1158,0.406313
1158,0.516178
1158,0.617802
1158,0.640446
1158,0.486391
1158,0.288088
1158,0.886967
1158,0.339663
1158,0.587528
1158,0.627506
1158,0.638432
1158,0.221559
1158,0.684696
1158,0.959232
1158,0.81995
1158,0.25635
1158,0.478701
1158,0.639042
1158,0.536137
1158,0.0247804
1158,0.8335
1158,0.807499
1158,0.515079
